"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8494","Verify Remind Me dropdown behavior @[111275] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-notifications.spec.js","",""
"","6389","Verify State dropdown behavior for countries without states @[111267] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","5781","Verify State Dropdown @[111257] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","3396","Verify English Language Selection @[117358] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","7711","setup provider+admin+coordinator authentication","auth-provider-admin-coordinator","2026-02-26","passed","2026-02-26","Provider+Admin+Coordinator Authentication Setup @provider-admin-coordinator","setup/auth-provider-admin-coordinator.js","",""
"","2945","Verify Device ID Access Screen Layout and Elements @[115016] @device @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
"","4","Verify EULA Decline button returns user to Device ID Access Page @[120219] @device @functional","single-device","2026-02-26","skipped","2026-02-26","Device_ID @regression","single-user-tests/device/create-account-onboard-device-id.spec.js","",""
"","7949","Validate Session Reminder Settings @[111278] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-notifications.spec.js","",""
"","9112","Verify Save Changes Validation for Empty Fields on Edit License to Practice @[111215] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-license-to-practice.spec.js","",""
"","0","Verify Save Changes Functionality with All Fields Populated on Edit License @[111216] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-license-to-practice.spec.js","",""
"","4400","[Negative] Verify Device ID With Invalid Format is Rejected @[115021] @device @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
"","6150","Verify No, Cancel Button Functionality on Delete Account Screen @[111252] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","6041","Verify DOB Calendar selection tool @[111221] @patient @ui","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","3536","Verify Password page updates depending on ""Language"" selected from ""Language dropdown"" @[115394] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/password.spec.js","",""
"","6468","Verify Edit profile details screen displays correctly @[114112] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","7556","Verify Toggle Functionality on Edit Daily Availability Modal @[111233] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-calendar.spec.js","",""
"","5628","Verify Additional Content on ""Before we get started"" Page @[118057] @patient @ui","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/create-account-onboard-patient-pt2.spec.js","",""
"","0","Verify Add Start/End Time Pair Functionality on Edit Daily Availability Modal @[111235] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/manage-calendar.spec.js","",""
"","0","Verify Cancel Button functionality on Edit License to Practice modal @[111214] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-license-to-practice.spec.js","",""
"","2713","[Negative] Verify password mismatch validation on ""Create New Password"" Page @[111178] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
"","5947","Verify the Phone number extension dropdown functionality in Edit profile details slide out @[114240] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","8381","Verify License to Practice slide out in Edit License to Practice modal @[111395] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","6224","Verify Cancel button functionality @[111258] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","3361","Verify redirect on Forgot Password? link click on Password Page @[111184] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/forgot-password.spec.js","",""
"","8926","Verify Edit Button Functionality for License to Practice Section on Account Settings @[111225] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","8063","Verify Functionality of the Timezone section on Before we get started page @[112517] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","2984","Verify Log In click with no password on Password Page @[111166] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/password.spec.js","",""
"","5799","Verify Content on Forgot Password Page @[114517] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/forgot-password.spec.js","",""
"","6933","Verify validation for manual DOB invalid input in Edit Profile Details @[111728] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","2919","Verify Spanish Language Selection @[117360] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","8743","Verify Accept Button on User License Agreement @[111190] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/create-account-onboard-patient.spec.js","",""
"","10770","Verify default reminder time display @[111281] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-notifications.spec.js","",""
"","13436","Verify validation for Insurance policy number valid input in Edit Profile Details @[118045] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile-pt2.spec.js","",""
"","10119","Verify Upload Photo Functionality on Account Settings Page @[111220] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","10538","Verify Onboarding Screen Displays Correct Fields for Device ID User @[115319] @device @ui","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/create-account-onboard-device-id.spec.js","",""
"","10070","Verify Validation for Name and Device ID in Edit Profile View @[115336]","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","8652","Verify the validation of licenses to practice section on the Before we get started page @[112514] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","4070","Verify Login Screen Language Dropdown @[117349] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","4881","Verify functionality on ""Create New Password"" Page @[114527] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
"","2822","[Negative] Verify change password requirements - (missing special character) @[114532] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
"","6210","[Negative] Verify the validation of the Medical specialty drop down list on the Before we get started page @[112510] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","1","Verify save changes button functionality in Edit profile details slide out @[114234] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","0","Verify Yes, Delete Button Functionality (Delete Account) @[111253] @patient @functional","single-patient","2026-02-26","skipped","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","1766","Verify Available Languages @[117357] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","6334","setup admin authentication","auth-admin","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin","setup/auth-admin.js","",""
"","6107","Verify the validation of the Medical specialty drop down list on the Before we get started page @[112515] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","2310","Verify Next Button Display and Default State @[117354] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","0","Verify License Button with Country and State Inputs for Providers @[111187] @provider @functional","single-patient","2026-02-26","skipped","2026-02-26","Patient @regression","single-user-tests/patient/create-account-onboard-patient.spec.js","",""
"","7636","Verify Avatar Dropdown Displays Device ID Name and ID @[115539] @device @ui","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","1","[Negative] [Spanish] Verify the validation of the ""Nombre"" field on the ""Antes de empezar"" page @[112519] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider - Spanish @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
